Name,Notes
absolument-femme,"['grapefruit', ' tangerine', ' bergamot', 'wormwood', ' violet', ' magnolia', ' spices', ' cardamom', ' rose', ' nutmeg', ' lily-of-the-valley', ' ylang-ylang', ' jasmine']"
the-majestic-oud,"['black currant', ' raspberry', ' apple', ' bergamot', ' lemon', ' melon', 'patchouli', ' sage']"
body,"['peach', ' bergamot', ' pink pepper', ' green mandarin', 'jasmine sambac', ' ylang-ylang', ' turkish rose']"
evolution-de-l-homme-matin,"['grapefruit', ' lime', ' juniper berries', ' thyme', ' lemon', ' pink pepper', ' artemisia', ' bergamot', 'patchouli', ' cedar', ' jasmine', ' black currant', ' apple', ' rose', ' cypriol oil or nagarmotha']"
musk-is-great,"['bergamot', ' mandarin orange', 'magnolia', ' black currant']"
libeccio,"['lilac', ' rose', ' jasmine', ' eucalyptus', ' cyclamen', ' mint', 'raspberry', ' iris', ' peach']"
kings-wood,"['pineapple', 'fern', ' sichuan pepper']"
stone-supernova-for-him,"['fruity notes', ' citruses', ' lavender', ' watery notes', 'cashmere wood', ' rose', ' oakmoss']"
pussy,"['animal notes', ' pomelo', ' hyacinth', 'tuberose', ' jasmine']"
up-to-you-for-her,"['peach', ' mandarin orange', ' freesia', 'magnolia', ' peony', ' lily-of-the-valley']"
viva-by-fergie,"['green notes', ' bergamot', 'lavender', ' mint', ' narcissus']"
incandessence-flame,"['pink pepper', 'gardenia', ' jasmine']"
defy,"['bergamot', ' lavender', 'vetiver']"
